"bus_date","venue_code","egm_description","manufacturer","fp","turnover_sum","gmp_sum","games_played_sum"
2024-11-01,10203,M)Genghis Khan Dragon Cash F58 S63097,ARISTOCRAT,8,6023.65,315.77,2412.00
2024-11-01,10203,M)Fireball Blue Moon II Express F23 S62774 CCAU,IGT,9,0.00,0.00,0.00
2024-11-01,10203,M)Autumn Moon Dragon Link F59 S62900,ARISTOCRAT,10,1169.02,-386.58,1615.00
2024-11-02,10203,M)Forever Emperor - Dragon Train f405 s5301 a26942,Shufflemaster,1,5438.81,490.69,6022.00
2024-11-02,10203,M)Chi Lin Wins - Dragon Train f405 s5283 a26941,Shufflemaster,2,7029.39,1574.36,5419.00
2024-11-02,10203,M)Khutulun Battle Princess - Dragon Train f405 s5289 a26940,Shufflemaster,3,6797.88,797.26,5667.00
2024-11-02,10203,BIG RED 2 f39 s62388,ARISTOCRAT,4,1005.00,558.00,279.00
2024-11-02,10203,Black Bear F83 S1359,Ainsworth,5,1103.10,444.10,481.00
2024-11-02,10203,M)Cash Caper Golden Strike f1496 s1566 a24085,KONAMI,6,1835.75,-813.20,1163.00
2024-11-02,10203,M)Red Fleet - Dragon Unleashed f311 s4954 a24949,Shufflemaster,7,2697.75,291.97,3156.00
2024-11-02,10203,M)Genghis Khan Dragon Cash F58 S63097,ARISTOCRAT,8,2413.44,-1075.00,1723.00
2024-11-02,10203,M)Fireball Blue Moon II Express F23 S62774 CCAU,IGT,9,0.00,0.00,0.00
2024-11-02,10203,M)Autumn Moon Dragon Link F59 S62900,ARISTOCRAT,10,2253.02,799.15,2150.00
2024-11-03,10203,M)Forever Emperor - Dragon Train f405 s5301 a26942,Shufflemaster,1,12057.95,1075.01,6885.00
2024-11-03,10203,M)Chi Lin Wins - Dragon Train f405 s5283 a26941,Shufflemaster,2,10839.01,2834.82,6675.00
2024-11-03,10203,M)Khutulun Battle Princess - Dragon Train f405 s5289 a26940,Shufflemaster,3,13450.35,1159.35,7177.00
2024-11-03,10203,BIG RED 2 f39 s62388,ARISTOCRAT,4,780.00,506.00,165.00
2024-11-03,10203,Black Bear F83 S1359,Ainsworth,5,1918.00,-281.00,428.00
2024-11-03,10203,M)Cash Caper Golden Strike f1496 s1566 a24085,KONAMI,6,8923.75,943.77,2577.00
2024-11-03,10203,M)Red Fleet - Dragon Unleashed f311 s4954 a24949,Shufflemaster,7,11006.25,1516.65,3829.00
2024-11-03,10203,M)Genghis Khan Dragon Cash F58 S63097,ARISTOCRAT,8,4821.88,351.04,1693.00
2024-11-03,10203,M)Fireball Blue Moon II Express F23 S62774 CCAU,IGT,9,0.00,0.00,0.00
2024-11-03,10203,M)Autumn Moon Dragon Link F59 S62900,ARISTOCRAT,10,9311.42,-5162.15,2951.00
2024-11-04,10203,M)Forever Emperor - Dragon Train f405 s5301 a26942,Shufflemaster,1,17224.32,-1021.60,7646.00
2024-11-04,10203,M)Chi Lin Wins - Dragon Train f405 s5283 a26941,Shufflemaster,2,7859.21,-1741.36,4871.00
2024-11-04,10203,M)Khutulun Battle Princess - Dragon Train f405 s5289 a26940,Shufflemaster,3,8655.27,560.52,5251.00
2024-11-04,10203,BIG RED 2 f39 s62388,ARISTOCRAT,4,1908.00,-56.00,506.00
2024-11-04,10203,Black Bear F83 S1359,Ainsworth,5,4131.00,81.00,841.00
2024-11-04,10203,M)Cash Caper Golden Strike f1496 s1566 a24085,KONAMI,6,2685.50,1009.04,1437.00
2024-11-04,10203,M)Red Fleet - Dragon Unleashed f311 s4954 a24949,Shufflemaster,7,4906.25,151.67,2666.00
2024-11-04,10203,M)Genghis Khan Dragon Cash F58 S63097,ARISTOCRAT,8,8024.24,-1185.59,3648.00
2024-11-04,10203,M)Fireball Blue Moon II Express F23 S62774 CCAU,IGT,9,0.00,0.00,0.00
2024-11-04,10203,M)Autumn Moon Dragon Link F59 S62900,ARISTOCRAT,10,4468.44,1064.24,3927.00
2024-11-05,10203,M)Forever Emperor - Dragon Train f405 s5301 a26942,Shufflemaster,1,4809.37,657.06,4012.00
2024-11-05,10203,M)Chi Lin Wins - Dragon Train f405 s5283 a26941,Shufflemaster,2,8717.62,1726.54,4198.00
2024-11-05,10203,M)Khutulun Battle Princess - Dragon Train f405 s5289 a26940,Shufflemaster,3,17638.59,1446.83,5454.00
2024-11-05,10203,BIG RED 2 f39 s62388,ARISTOCRAT,4,404.00,-153.00,94.00
2024-11-05,10203,Black Bear F83 S1359,Ainsworth,5,487.00,145.00,173.00
2024-11-05,10203,M)Cash Caper Golden Strike f1496 s1566 a24085,KONAMI,6,1847.00,236.47,805.00
2024-11-05,10203,M)Red Fleet - Dragon Unleashed f311 s4954 a24949,Shufflemaster,7,1794.65,403.85,713.00
2024-11-05,10203,M)Genghis Khan Dragon Cash F58 S63097,ARISTOCRAT,8,3296.21,1086.84,2115.00
2024-11-05,10203,M)Fireball Blue Moon II Express F23 S62774 CCAU,IGT,9,1480.06,-47.62,1073.00
2024-11-05,10203,M)Autumn Moon Dragon Link F59 S62900,ARISTOCRAT,10,3266.15,449.59,2675.00
2024-11-06,10203,M)Forever Emperor - Dragon Train f405 s5301 a26942,Shufflemaster,1,5699.09,603.76,4562.00
2024-11-06,10203,M)Chi Lin Wins - Dragon Train f405 s5283 a26941,Shufflemaster,2,4009.73,818.47,3019.00
2024-11-06,10203,M)Khutulun Battle Princess - Dragon Train f405 s5289 a26940,Shufflemaster,3,12306.30,3203.45,5968.00
2024-11-06,10203,BIG RED 2 f39 s62388,ARISTOCRAT,4,595.00,-1.00,184.00
2024-11-06,10203,Black Bear F83 S1359,Ainsworth,5,1859.00,94.00,564.00
2024-11-06,10203,M)Cash Caper Golden Strike f1496 s1566 a24085,KONAMI,6,1555.50,341.92,1004.00
2024-11-06,10203,M)Red Fleet - Dragon Unleashed f311 s4954 a24949,Shufflemaster,7,7987.50,1907.38,2767.00
2024-11-06,10203,M)Genghis Khan Dragon Cash F58 S63097,ARISTOCRAT,8,3671.85,-540.36,2555.00
2024-11-06,10203,M)Fireball Blue Moon II Express F23 S62774 CCAU,IGT,9,3075.61,140.14,2047.00
2024-11-06,10203,M)Autumn Moon Dragon Link F59 S62900,ARISTOCRAT,10,3864.59,446.89,4304.00
